BW: Transaction Key;Reason for Mvt.;Order Type;Technical Movement/r;Movement Area;Sort Area Movement;Sort Area Movement;Material Movement -;Movement Reason Desc;Sort area industrial;IPM Movement Nature;Consum. w/o order
000;0000;;;;;;;;;;
000;0000;;453;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
000;0000;;454;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
000;0000;;458;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
000;0000;;459;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
000;0000;;460;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
000;0000;;501;DISPONIBLE;1;112;ACHAT;;900;ZTEC;
000;0000;;502;DISPONIBLE;1;112;ACHAT;;900;ZTEC;
000;0000;;531;DISPONIBLE;1;113;RECEPTION;;900;ZTEC;
000;0000;;532;DISPONIBLE;1;113;RECEPTION;;900;ZTEC;
000;0000;;653;DISPONIBLE;1;220;VENTE;;520;RETURN_DELIVERY;
000;0000;;654;DISPONIBLE;1;220;VENTE;;520;RETURN_DELIVERY;
000;0000;;673;DISPONIBLE;1;220;VENTE;;520;RETURN_DELIVERY;
000;0000;;674;DISPONIBLE;1;220;VENTE;;520;RETURN_DELIVERY;
000;0000;;687;UTILISATION;2;401;VENTE;;510;BRUT_DELIVERY;
000;0000;;953;DISPONIBLE;1;225;VENTE;;250;STOCK_LOSS;
000;0000;5761;501;DISPONIBLE;1;350;VENTE;;510;BRUT_DELIVERY;
000;0000;5761;502;DISPONIBLE;1;350;VENTE;;510;BRUT_DELIVERY;
000;0000;5763;501;DISPONIBLE;1;360;ACHAT;;900;ZTEC;
000;0000;5763;502;DISPONIBLE;1;360;ACHAT;;900;ZTEC;
000;0000;CDR;0;DISPONIBLE;1;185;INTERSITE;;;;
000;0000;CQZR;0;UTILISATION;2;240;VENTE;;;;
000;0000;DUA;101;DISPONIBLE;1;115;ACHAT;;300;EXTERNAL_PURCH;
000;0000;DUA;102;DISPONIBLE;1;115;ACHAT;;900;ZTEC;
000;0000;DUV;601;UTILISATION;2;215;VENTE;;510;BRUT_DELIVERY;
000;0000;DUV;602;UTILISATION;2;215;VENTE;;510;BRUT_DELIVERY;
000;0000;DUV;653;DISPONIBLE;1;220;VENTE;;520;RETURN_DELIVERY;
000;0000;DUV;654;DISPONIBLE;1;220;VENTE;;520;RETURN_DELIVERY;
000;0000;EDTI;641;DISPONIBLE;1;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;EDTI;642;DISPONIBLE;1;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;ESFI;0;UTILISATION;2;540;INVENTAIRE;;;;
000;0000;PSI;0;UTILISATION;2;530;INVENTAIRE;;;;
000;0000;SDTI;101;UTILISATION;2;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;SDTI;102;UTILISATION;2;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;SF;0;UTILISATION;2;520;INVENTAIRE;;650;INVENTORY;
000;0000;SI;0;DISPONIBLE;1;100;INVENTAIRE;;100;INIT_STK;
000;0000;TIE;101;DISPONIBLE;1;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;TIE;102;DISPONIBLE;1;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;TIS;641;UTILISATION;2;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;TIS;642;UTILISATION;2;180;INTERSITE;;220;CATEGORY_CHANGE;
000;0000;ZP01;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP01;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP05;101;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP05;102;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP10;101;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP10;102;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP15;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP15;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP20;101;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP20;102;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP25;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP25;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP30;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP30;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP31;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP31;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP35;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP35;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP36;101;DISPONIBLE;1;301;PRODUCTION;;220;CATEGORY_CHANGE;
000;0000;ZP36;102;DISPONIBLE;1;301;PRODUCTION;;220;CATEGORY_CHANGE;
000;0000;ZP40;101;DISPONIBLE;1;301;PRODUCTION;;220;CATEGORY_CHANGE;
000;0000;ZP40;102;DISPONIBLE;1;301;PRODUCTION;;220;CATEGORY_CHANGE;
000;0000;ZP45;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP45;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP50;101;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP50;102;DISPONIBLE;1;301;PRODUCTION;;900;ZTEC;
000;0000;ZP55;101;DISPONIBLE;1;300;COPACKING;;900;ZTEC;
000;0000;ZP55;102;DISPONIBLE;1;300;COPACKING;;900;ZTEC;
000;0000;ZP99;101;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZP99;102;DISPONIBLE;1;301;PRODUCTION;;210;GROSS_PROD;
000;0000;ZTIS;641;UTILISATION;2;180;VENTE;;510;BRUT_DELIVERY;
000;0000;ZTIS;642;UTILISATION;2;180;VENTE;;510;BRUT_DELIVERY;
000;0001;IPMG;0;DISPONIBLE;1;;PRODUCTION;;210;GROSS_PROD;
000;0001;IPML;0;UTILISATION;2;;PRODUCTION;;240;LINE_LOSS;
000;0002;IPMG;0;DISPONIBLE;1;;PRODUCTION;;210;GROSS_PROD;
000;0002;IPMS;0;UTILISATION;2;;PRODUCTION;;230;LAB_SAMP;
001;0000;;101;DISPONIBLE;1;110;ACHAT;;300;EXTERNAL_PURCH;
001;0000;;102;DISPONIBLE;1;110;ACHAT;;300;EXTERNAL_PURCH;
001;0000;;501;DISPONIBLE;1;112;ACHAT;;900;ZTEC;
001;0000;;502;DISPONIBLE;1;112;ACHAT;;900;ZTEC;
001;0000;;531;DISPONIBLE;1;113;RECEPTION;;900;ZTEC;
001;0000;;532;DISPONIBLE;1;113;RECEPTION;;900;ZTEC;
001;0000;;541;DISPONIBLE;1;420;SOUS-TRAITANCE;;900;ZTEC;
001;0000;;542;DISPONIBLE;1;420;SOUS-TRAITANCE;;900;ZTEC;
001;0000;5761;501;DISPONIBLE;1;350;VENTE;;510;BRUT_DELIVERY;
001;0000;5761;502;DISPONIBLE;1;350;VENTE;;510;BRUT_DELIVERY;
001;0000;5763;501;DISPONIBLE;1;360;ACHAT;;900;ZTEC;
001;0000;5763;502;DISPONIBLE;1;360;ACHAT;;900;ZTEC;
001;0000;DEST;541;DISPONIBLE;1;400;DESTRUCTION;;220;CATEGORY_CHANGE;
001;0000;DEST;542;DISPONIBLE;1;400;DESTRUCTION;;220;CATEGORY_CHANGE;
001;9007;;101;DISPONIBLE;1;111;ACHAT;;300;EXTERNAL_PURCH;
001;9007;;102;DISPONIBLE;1;111;ACHAT;;300;EXTERNAL_PURCH;
004;0000;;309;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
004;0000;;310;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
005;0000;;701;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;X
005;0000;;712;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;X
005;0099;;712;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;X
005;9001;;701;DISPONIBLE;1;160;PERTE;COMMERCIAL;260;LOSS_ON_RETURN;X
005;9001;;703;DISPONIBLE;1;160;PERTE;COMMERCIALE;250;STOCK_LOSS;
005;9001;;705;DISPONIBLE;1;160;PERTE;COMMERCIALE;250;STOCK_LOSS;
005;9001;;707;DISPONIBLE;1;160;PERTE;COMMERCIALE;250;STOCK_LOSS;
005;9002;;701;DISPONIBLE;1;170;PERTE;ENTREPOT;250;STOCK_LOSS;X
005;9002;;703;DISPONIBLE;1;170;PERTE;ENTREPOT;250;STOCK_LOSS;
005;9002;;705;DISPONIBLE;1;170;PERTE;ENTREPOT;250;STOCK_LOSS;
005;9002;;707;DISPONIBLE;1;170;PERTE;ENTREPOT;250;STOCK_LOSS;
005;9003;;701;DISPONIBLE;1;160;PERTE;INFORMATIQUE;250;STOCK_LOSS;X
005;9003;;703;DISPONIBLE;1;160;PERTE;INFORMATIQUE;250;STOCK_LOSS;
005;9003;;705;DISPONIBLE;1;160;PERTE;INFORMATIQUE;250;STOCK_LOSS;
005;9003;;707;DISPONIBLE;1;160;PERTE;INFORMATIQUE;250;STOCK_LOSS;
005;9004;;701;DISPONIBLE;1;170;PERTE;LOGISTIQUE PLATEFORME;250;STOCK_LOSS;X
005;9004;;703;DISPONIBLE;1;170;PERTE;LOGISTIQUE PLATEFORME;250;STOCK_LOSS;
005;9004;;705;DISPONIBLE;1;170;PERTE;LOGISTIQUE PLATEFORME;250;STOCK_LOSS;
005;9004;;707;DISPONIBLE;1;170;PERTE;LOGISTIQUE PLATEFORME;250;STOCK_LOSS;
005;9005;;701;DISPONIBLE;1;160;PERTE;QUALITE;250;STOCK_LOSS;X
005;9005;;703;DISPONIBLE;1;160;PERTE;QUALITE;250;STOCK_LOSS;
005;9005;;705;DISPONIBLE;1;160;PERTE;QUALITE;250;STOCK_LOSS;
005;9005;;707;DISPONIBLE;1;160;PERTE;QUALITE;250;STOCK_LOSS;
005;9006;;701;DISPONIBLE;1;170;PERTE;TRANSPORT;250;STOCK_LOSS;X
005;9006;;703;DISPONIBLE;1;170;PERTE;TRANSPORT;250;STOCK_LOSS;
005;9006;;705;DISPONIBLE;1;170;PERTE;TRANSPORT;250;STOCK_LOSS;
005;9006;;707;DISPONIBLE;1;170;PERTE;TRANSPORT;250;STOCK_LOSS;
005;9007;;701;DISPONIBLE;1;111;ACHAT;;250;STOCK_LOSS;X
005;9007;;703;DISPONIBLE;1;160;PERTE;USINE;250;STOCK_LOSS;
005;9007;;705;DISPONIBLE;1;160;PERTE;USINE;250;STOCK_LOSS;
005;9007;;707;DISPONIBLE;1;111;ACHAT;;250;STOCK_LOSS;
005;9008;;701;DISPONIBLE;1;170;PERTE;CORRECTION INTERSITE;250;STOCK_LOSS;X
005;9008;;703;DISPONIBLE;1;170;PERTE;CORRECTION INTERSITE;250;STOCK_LOSS;
005;9008;;705;DISPONIBLE;1;170;PERTE;CORRECTION INTERSITE;250;STOCK_LOSS;
005;9008;;707;DISPONIBLE;1;170;PERTE;CORRECTION INTERSITE;250;STOCK_LOSS;
005;9009;;701;DISPONIBLE;1;170;PERTE;RETOUR CLIENT;260;LOSS_ON_RETURN;X
005;9009;;703;DISPONIBLE;1;170;PERTE;RETOUR CLIENT;260;LOSS_ON_RETURN;
005;9009;;705;DISPONIBLE;1;170;PERTE;RETOUR CLIENT;260;LOSS_ON_RETURN;
005;9009;;707;DISPONIBLE;1;170;PERTE;RETOUR CLIENT;250;STOCK_LOSS;
005;9010;;701;DISPONIBLE;1;170;PERTE;3PL;260;LOSS_ON_RETURN;X
005;9010;;703;DISPONIBLE;1;170;PERTE;3PL;260;LOSS_ON_RETURN;
005;9010;;705;DISPONIBLE;1;170;PERTE;3PL;260;LOSS_ON_RETURN;
005;9010;;707;DISPONIBLE;1;170;PERTE;3PL;260;LOSS_ON_RETURN;
005;9011;;701;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;X
005;9011;;703;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;
005;9011;;705;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;
005;9011;;707;DISPONIBLE;1;500;INVENTAIRE;;600;STK_DISCREPANCY;
005;9012;;701;DISPONIBLE;1;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;X
005;9012;;703;DISPONIBLE;1;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;
005;9012;;705;DISPONIBLE;1;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;
005;9012;;707;DISPONIBLE;1;170;PERTE;TRI PRODUIT;250;STOCK_LOSS;
005;9013;;701;DISPONIBLE;1;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;X
005;9013;;703;DISPONIBLE;1;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;
005;9013;;705;DISPONIBLE;1;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;
005;9013;;707;DISPONIBLE;1;172;CHGT CODE ARTICLE;;220;CATEGORY_CHANGE;
005;9014;;701;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;X
005;9014;;703;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;;705;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;;707;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;ZP20;701;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;X
005;9014;ZP20;703;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;ZP20;705;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9014;ZP20;707;DISPONIBLE;1;302;PERTE;AJUSTEMENT PRODUCT.;210;GROSS_PROD;
005;9015;;701;DISPONIBLE;1;111;ACHAT;;600;STK_DISCREPANCY;X
005;9015;;707;DISPONIBLE;1;111;ACHAT;;600;STK_DISCREPANCY;
006;0000;;561;DISPONIBLE;1;100;INIT;;100;INIT_STK;
006;0000;;562;DISPONIBLE;1;100;INIT;;100;INIT_STK;
010;0000;;301;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;302;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;303;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;304;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;309;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;311;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;312;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;313;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;314;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;321;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;322;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;323;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;325;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;326;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;343;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;344;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;349;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0000;;350;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
010;0001;;344;DISPONIBLE;1;190;INTRASITE;;220;CATEGORY_CHANGE;
